               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,             0.02355,           0.0098943,           0.0005092,             0.94571,             0.90984,             0.94751,              0.6039,            0.027297,           0.0058873,          0.00067307,            0.001882,            0.001882,            0.001882
                 125,            0.023155,           0.0097187,          0.00040172,             0.94886,             0.90874,             0.94755,             0.60366,            0.027294,           0.0058848,          0.00066803,            0.001816,            0.001816,            0.001816
                 126,            0.023269,           0.0098687,          0.00050289,             0.94601,              0.9096,             0.94715,             0.60423,            0.027297,           0.0058836,          0.00065742,             0.00175,             0.00175,             0.00175
                 127,            0.023301,           0.0098241,          0.00045816,             0.94136,             0.91202,             0.94712,              0.6043,             0.02728,           0.0058855,          0.00065411,            0.001684,            0.001684,            0.001684
                 128,            0.022929,           0.0098237,          0.00044594,             0.94265,             0.91097,             0.94677,             0.60515,            0.027274,           0.0058841,           0.0006479,            0.001618,            0.001618,            0.001618
                 129,            0.022805,           0.0098626,          0.00037784,              0.9471,             0.90817,             0.94828,             0.60549,            0.027279,           0.0058842,          0.00063232,            0.001552,            0.001552,            0.001552
                 130,            0.022837,            0.009888,          0.00045911,             0.94425,             0.90874,             0.94765,             0.60603,             0.02728,           0.0058863,          0.00063758,            0.001486,            0.001486,            0.001486
                 131,            0.022716,           0.0098935,          0.00040326,             0.94232,             0.90925,             0.94709,             0.60638,            0.027273,           0.0058888,          0.00063974,             0.00142,             0.00142,             0.00142
                 132,            0.022605,           0.0096144,          0.00035888,             0.94872,             0.90692,             0.94688,             0.60585,            0.027266,           0.0058877,          0.00064057,            0.001354,            0.001354,            0.001354
                 133,            0.022653,           0.0096353,          0.00042069,             0.94687,             0.90691,             0.94618,              0.6061,            0.027266,           0.0058895,          0.00064657,            0.001288,            0.001288,            0.001288
                 134,            0.022489,           0.0094795,          0.00042929,             0.94737,             0.90403,             0.94562,             0.60658,             0.02726,           0.0058961,           0.0006475,            0.001222,            0.001222,            0.001222
                 135,            0.022274,           0.0095389,          0.00046316,             0.94028,             0.90827,             0.94502,              0.6069,            0.027256,           0.0059013,          0.00065042,            0.001156,            0.001156,            0.001156
                 136,            0.022398,            0.009646,          0.00035327,             0.94328,             0.90816,             0.94446,              0.6076,            0.027251,           0.0059061,          0.00064815,             0.00109,             0.00109,             0.00109
